Time_ps,H2O2^0,H3O^1,HO2^-1,HO2^0,H^0,H_2^0,O2^-1,O2^0,O3P^0,O3^-1,O3^0,OH^-1,OH^0,O^-1,e_aq^-1
1.0,0.0,6.91852,0.0,0.0,0.888208,0.366859,0.0,0.0,0.0,0.0,0.0,0.131962,8.40849,0.0,6.91627
1.14976,0.00402842,6.91172,0.0,0.0,0.878257,0.374265,0.0,0.0,0.0,0.0,0.0,0.137243,8.3932,0.0,6.90418
1.32194,0.0080047,6.907,0.0,0.0,0.870238,0.379758,0.0,0.0,0.0,0.0,0.0,0.143186,8.37756,0.0,6.89353
1.51991,0.0122597,6.90229,0.0,0.0,0.864177,0.385602,0.0,0.0,0.0,0.0,0.0,0.152124,8.36103,0.0,6.87988
1.74753,0.017,6.89507,0.0,0.0,0.858255,0.388363,0.0,0.0,0.0,0.0,0.0,0.151903,8.34415,0.0,6.87288
2.00923,0.0225099,6.89109,0.0,0.0,0.852529,0.390575,0.0,0.0,0.0,0.0,0.0,0.155441,8.3243,0.0,6.86536
2.31013,0.0279869,6.8858,0.0,0.0,0.845806,0.392317,0.0,0.0,0.0,0.0,0.0,0.156597,8.30366,0.0,6.85891
2.65609,0.0330308,6.88109,0.0,0.0,0.839422,0.394788,0.0,0.0,0.0,0.0,0.0,0.15912,8.28491,0.0,6.85168
3.05386,0.0406819,6.8719,0.0,0.0,0.83251,0.396044,0.0,0.0,0.0,0.0,0.0,0.159751,8.25538,0.0,6.84186
3.51119,0.0476384,6.86722,0.0,0.0,0.825976,0.39795,0.0,0.0,0.0,0.0,0.0,0.162048,8.23177,0.0,6.83488
4.03702,0.0575228,6.86056,0.0,0.0,0.818538,0.399563,0.0,0.0,0.0,0.0,0.0,0.162304,8.20087,0.0,6.82797
4.64159,0.0654983,6.85368,0.0,0.0,0.811918,0.400843,0.0,0.0,0.0,0.0,0.0,0.164636,8.17166,0.0,6.81876
5.3367,0.074793,6.84328,0.0,0.0,0.805113,0.402901,0.0,0.0,0.0,0.0,0.0,0.164136,8.14047,0.0,6.80886
6.13591,0.0848032,6.83648,0.0,0.0,0.797701,0.404578,0.0,0.0,0.0,0.0,0.0,0.165725,8.108,0.0,6.80046
7.0548,0.0948606,6.82663,0.0,0.0,0.792283,0.406431,0.0,0.0,0.0,0.0,0.0,0.166338,8.07571,0.0,6.79
8.11131,0.107554,6.81517,0.0,0.0,0.787395,0.407993,0.0,0.0,0.0,0.0,0.0,0.165655,8.03779,0.0,6.77922
9.32603,0.119813,6.8061,0.0,0.0,0.779624,0.409357,0.0,0.0,0.0,0.0,0.0,0.166143,7.99867,0.0,6.76967
10.7227,0.1328,6.79582,0.0,0.0,0.77347,0.410929,0.0,0.0,0.0,0.0,0.0,0.165589,7.95996,0.0,6.75994
12.3285,0.146684,6.78523,0.0,0.0,0.766303,0.412871,0.0,0.0,0.0,0.0,0.0,0.166051,7.91786,0.0,6.74889
14.1747,0.166159,6.7719,0.0,0.0,0.759555,0.415969,0.0,0.0,0.0,0.0,0.0,0.167849,7.86322,0.0,6.73376
16.2975,0.184345,6.76101,0.0,0.0,0.752189,0.417765,0.0,0.0,0.0,0.0,0.0,0.169449,7.81059,0.0,6.72127
18.7382,0.203295,6.74717,0.0,0.0,0.745882,0.420577,0.0,0.0,0.0,0.0,0.0,0.172047,7.75556,0.0,6.70483
21.5443,0.225842,6.73018,0.0,0.0,0.741288,0.423121,0.0,0.0,0.0,0.0,0.0,0.176027,7.69,0.0,6.68386
24.7708,0.248057,6.70828,0.0,0.0,0.734802,0.426481,0.0,0.0,0.0,0.0,0.0,0.174503,7.62543,0.0,6.66349
28.4804,0.270277,6.69096,0.0,0.0,0.729953,0.429507,0.0,0.0,0.0,0.0,0.0,0.178524,7.56085,0.0,6.64215
32.7455,0.295132,6.67181,0.0,0.0,0.726688,0.431416,0.0,0.0,0.0,0.0,0.0,0.179008,7.49206,0.0,6.62251
37.6494,0.31957,6.65343,0.0,0.0,0.721458,0.434912,0.0,0.0,0.0,0.0,0.0,0.183736,7.42183,0.0,6.5994
43.2876,0.349122,6.63065,0.0,0.0,0.717761,0.438398,0.0,0.0,0.0,0.0,0.0,0.187203,7.33976,0.0,6.57315
49.7702,0.375417,6.60675,0.0,0.0,0.714308,0.446436,0.0,0.0,0.0,0.0,0.0,0.20023,7.26287,0.0,6.53623
57.2237,0.405507,6.5848,0.0,0.0,0.711943,0.449893,0.0,0.0,0.0,0.0,0.0,0.206229,7.17929,0.0,6.50828
65.7933,0.435644,6.56141,0.0,0.0,0.709965,0.453384,0.0,0.0,0.0,0.0,0.0,0.21108,7.09577,0.0,6.48004
75.6463,0.467625,6.53417,0.0,0.0,0.707852,0.457277,0.0,0.0,0.0,0.0,0.0,0.217944,7.00338,0.0,6.44594
86.9749,0.501616,6.50662,0.0,0.0,0.705072,0.465231,0.0,0.0,0.0,0.0,0.0,0.228578,6.91035,0.0,6.40776
100.0,0.531749,6.47868,0.0,0.0,0.70489,0.470104,0.0,0.0,0.0,0.0,0.0,0.235534,6.82475,0.0,6.37286
114.976,0.56292,6.44126,0.0,0.0,0.707986,0.473949,0.0,0.0,0.0,0.0,0.0,0.238946,6.73236,0.0,6.33202
132.194,0.600437,6.41044,0.0,0.0,0.702902,0.480311,0.0,0.0,0.0,0.0,0.0,0.248032,6.62506,0.0,6.29212
151.991,0.634397,6.37716,0.0,0.0,0.704585,0.48457,0.0,0.0,0.0,0.0,0.0,0.254436,6.52765,0.0,6.25243
174.753,0.666162,6.34252,0.0,0.0,0.703874,0.488822,0.0,0.0,0.0,0.0,0.0,0.262127,6.42959,0.0,6.21011
200.923,0.69846,6.30626,0.0,0.0,0.706674,0.497019,0.0,0.0,0.0,0.0,0.0,0.272227,6.33783,0.0,6.16374
231.013,0.731085,6.26293,0.0,0.0,0.710135,0.501655,0.0,0.0,0.0,0.0,0.0,0.278615,6.23559,0.0,6.11403
265.609,0.763116,6.22403,0.0,0.0,0.713664,0.507375,0.0,0.0,0.0,0.0,0.0,0.286478,6.13973,0.0,6.06726
305.386,0.796711,6.17318,0.0,0.0,0.719556,0.512775,0.0,0.0,0.0,0.0,0.0,0.285915,6.03895,0.0,6.01697
351.119,0.826913,6.1314,0.0,0.0,0.72298,0.518282,0.0,0.0,0.0,0.0,0.0,0.295573,5.94154,0.0,5.96554
403.702,0.862344,6.08487,0.0,0.0,0.732109,0.525932,0.0,0.0,0.0,0.0,0.0,0.307221,5.83693,0.0,5.90735
464.159,0.892243,6.04099,0.0,0.0,0.739684,0.532025,0.0,0.0,0.0,0.0,0.0,0.319341,5.7409,0.0,5.85136
533.67,0.921199,5.99215,0.0,0.0,0.746414,0.539412,0.0,0.0,0.0,0.0,0.0,0.32868,5.64631,0.0,5.79318
613.591,0.946622,5.93359,0.0,0.0,0.758388,0.545783,0.0,0.0,0.0,0.0,0.0,0.339072,5.55123,0.0,5.72423
705.48,0.974979,5.88196,0.0,0.0,0.767115,0.554178,0.0,0.0,0.0,0.0,0.0,0.350932,5.45654,0.0,5.66074
811.131,0.998582,5.83001,0.0,0.0,0.777859,0.561846,0.0,0.0,0.0,0.0,0.0,0.364754,5.36964,0.0,5.59497
932.603,1.02539,5.77795,0.0,0.0,0.788269,0.570226,0.0,0.0,0.0,0.0,0.0,0.376789,5.27911,0.0,5.53087
1072.27,1.05074,5.71871,0.0,0.0,0.801751,0.579855,0.0,0.0,0.0,0.0,0.0,0.387877,5.19081,0.0,5.46054
1232.85,1.07541,5.65484,0.0,0.0,0.817445,0.588795,0.0,0.0,0.0,0.0,0.0,0.400956,5.0981,0.0,5.38359
1417.47,1.09737,5.59881,0.0,0.0,0.827361,0.598883,0.0,0.0,0.0,0.0,0.0,0.418143,5.01106,0.0,5.31038
1629.75,1.11737,5.53545,0.0,0.0,0.842865,0.608528,0.0,0.0,0.0,0.0,0.0,0.429818,4.93081,0.0,5.23534
